Order ID,Customer Name,Gender,City,Address,Product Details (Brand),Product Price (Taka),Devivery Charge,Total Bill (Taka),Phone Number
52,Nahid Akther Tani,Female,Sylhet,"Flat #4, Building #11, Lamabazar, Sylhet",Mushq,6890,120,7010,015-827-35906
53,Nawme,Female,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",Celina,5599,70,5669,015-683-73270
54,Kaniz Alma Lubaba,Female,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",Celina,5599,70,5669,018-138-73408
55,Jannatul Ferdoush,Female,Jessore,"House #15, Road #3, Bagherpara, Jessore",Mushq,6890,120,7010,013-339-90069
56,Rezoana Natasha,Female,Barisal,"House #19, Road #11, Natullabad, Barisal",Faraz Manan,90000,120,90120,016-669-28501
57,Afrina Aktar Sheule,Female,Chittagong,"VIP city corporation housing society, road no 1, south khulshi,Chittagong",Sana Safinaz,10590,120,10710,016-567-26880
58,Ahmed Parvez,Male,Jamalpur,"Flat #1, Building #10, Sarishabari, Jamalpur",Khaadi,5990,120,6110,017-584-50821
59,Swarna Sangma,Female,Narsingdi,"Plot #13, Monohardi, Narsingdi",Khaadi,5990,120,6110,019-661-30806
60,Labib Fatima,Female,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",Sana Safinaz,10590,120,10710,018-601-23890
61,Sanjida Islam,Female,Faridpur,"Flat #2, Building #13, Nagarkanda, Faridpur",Celina,5599,120,5719,018-600-16850
62,Samia Sultana Anni,Female,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",Ethnic,6500,120,6620,018-597-56856
63,Jannatul Nayem Labonno,Female,Faridpur,"Plot #5, Charbhadrasan, Faridpur",Sana Safinaz,10590,120,10710,018-663-11824
64,Sohana Ahmed,Female,Faridpur,"Plot #5, Charbhadrasan, Faridpur",Maria B.,7500,120,7620,018-371-10425
65,Nabiha Sarmin Chowdhury,Female,Sylhet,"Apartment #15, Block #E, Zindabazar, Sylhet",Sana Safinaz,10590,120,10710,013-479-14026
66,Ahsan Iqbal,Male,Dhaka,"6/2,D, Abir mollah complex,(Besides borobug girja), Mirpur 2,",Sana Safinaz,10590,70,10660,019-720-50029
67,Md Imam,Male,Narsingdi,"House #19, Road #4, Shibpur, Narsingdi",Celina,5599,120,5719,017-918-66072
68,Ummy Sabrina Tonny,Female,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",Celina,5599,120,5719,019-164-27009
69,Taranna Shahriar,Male,Dhaka,"House no-18/3/C,Dokkhin Rajarbag ,(Kadamtola Rajarbag,Bakpara Jora",Khaadi,5990,70,6060,018-657-65037
70,Lubaba Tanzim,Female,Tangail,"House #2, Lane #8, Santosh, Tangail",Khaadi,5990,120,6110,017-259-27340
71,Nayan Rahman,Male,Dhaka,"25 no agasadek road 1100, Infront of Majed sorder committee center, Dhaka",Sana Safinaz,10590,70,10660,018-801-83936
72,Tania Akter Tissa,Female,Dhaka,"Natasha,Adabor 17/b,1030/A, Dhaka",Sana Safinaz,10590,70,10660,018-110-59970
73,Anahita Preyontika,Female,Dhaka,"Vai vai market, shah kabir mazar road,dakkhinkhan,Dhaka",Baroque,7560,70,7630,017-382-58904
74,Md. Shah Alom,Male,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",Celina,5599,70,5669,018-570-46802
75,Farzana Rahman Mishu,Female,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",Faraz Manan,90000,70,90070,013-142-91407
76,Farhana Kusum,Female,Narsingdi,"House #5, Lane #9, Narsingdi Sadar, Narsingdi",Faraz Manan,90000,120,90120,017-435-67407
77,Aroshi Rahman,Female,Khulna,"Plot #7, DA Khan Road, Khulna",Sana Safinaz,10590,120,10710,015-166-31975
78,Anisha Islam,Female,Dhaka,"Flat-4A, house-8/6/A,shyamoli road no-1,Dhaka",Sana Safinaz,10590,70,10660,016-859-17405
79,Rebaka Azad Bonna,Female,Dinajpur,"Apartment #5, Block #R, Birganj, Dinajpur",Sana Safinaz,10590,120,10710,019-876-51041
80,Saima Adi Rimu,Female,Narsingdi,"Plot #13, Monohardi, Narsingdi",Sana Safinaz,10590,120,10710,015-277-55207
81,Afrina Aktar Sheule,Female,Chittagong,"Apartment #5B, Block #D, Nasirabad, Chittagong",Sana Safinaz,10590,120,10710,019-835-87508
82,Bulbul Kausar,Female,Barisal,"Plot #14, Dapdapia, Bakerganj, Barisal",Sana Safinaz,10590,120,10710,013-578-23028
83,Halima Papri,Female,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",Sana Safinaz,10590,70,10660,017-441-25604
84,Saifun Nahar Nawrin,Female,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",Amir Adnan,9550,120,9670,016-876-99708
85,Fariha Jannath Prova,Female,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",Baroque,7560,70,7630,016-701-10201
86,Lubaba Tanzim,Female,Jamalpur,"Apartment #7, Block #T, Melandaha, Jamalpur",Sapphire,7180,120,7300,016-512-98015
87,Tasnim Ayontoni,Female,Dhaka,"225 Green Road ( Green Residential Society ,Opposite of Dhaka Tower)",Amir Adnan,9550,70,9620,018-104-76009
88,Mariana Zaman Tumpa,Female,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",Ethnic,6500,120,6620,013-363-45601
89,Iffat Surya Poroma,Female,Gazipur,"House #8, Lane #10, Joydebpur, Gazipur",Faraz Manan,90000,120,90120,013-783-15207
90,Adil Abrar,Male,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",Celina,5599,70,5669,015-272-76404
91,Farhana Shimu,Female,Barisal,"House #19, Road #11, Natullabad, Barisal",Mushq,6890,120,7010,013-552-10019
92,Qureshi Tahmina,Female,Kushtia,"House #7, Lane #11, Kushtia Sadar, Kushtia",Faraz Manan,90000,120,90120,019-665-48019
93,Jannatul Ferdous Madhubi,Female,Bogura,"House #9, Lane #10, Bogura Sadar, Bogura",Amir Adnan,9550,120,9670,016-287-82309
94,Salma Akter,Female,Dhaka,"Murgitola mosjid,Gendaria, puran Dhaka",Celina,5599,70,5669,017-709-33092
95,Motasima Tinni,Female,Dhaka,"Elyee apartment,flat - A 5 house 24,road - 1 -block K baridhara",Mushq,6890,70,6960,017-289-70091
96,Rijatun Naher Suhi,Female,Gazipur,"House #12, Road #2, Gazipur Sadar, Gazipur",Celina,5599,120,5719,019-579-11409
97,Roksana Parvin Tuli,Female,Barisal,"House #19, Road #11, Natullabad, Barisal",Mushq,6890,120,7010,017-139-38040
98,Anika Rahman,Female,Kushtia,"Flat #2, Building #9, Daulatpur, Kushtia",Baroque,7560,120,7680,013-987-68006
99,Mohin Uddin Ziku,Female,Comilla,"chanderbari,dakbangla road,shasongacha middle para,cumilla sadar,Comilla",Khaadi,5990,120,6110,017-814-82503
100,Sabiha Sumi,Female,Comilla,"Gouripur Bazar, daudkandi, voyager school,Comilla",Khaadi,5990,120,6110,015-335-90605
101,Sompa Ghosh,Female,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",Khaadi,5990,120,6110,013-447-62707
102,Nusrat Zerin Joya,Female,Chittagong,"Apartment #5B, Block #D, Nasirabad, Chittagong",Khaadi,5990,120,6110,019-192-43980
103,Md Yousuf,Male,Dhaka,"Kohinoor chemical,Tibbot,Tejgaon industrial area,Dhaka",Khaadi,5990,70,6060,018-516-71506
104,Mitara Khanom Mitu,Female,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",Amir Adnan,9550,120,9670,015-679-74508
105,Tanjin Muna,Female,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",Amir Adnan,9550,120,9670,016-742-35084
106,Tasnia Amanna,Female,Chittagong,"Apartment #5B, Block #D, Nasirabad, Chittagong",Faraz Manan,90000,120,90120,018-738-69002
107,Rounak Rakhi,Female,Jamalpur,"Flat #1, Building #10, Sarishabari, Jamalpur",Celina,5599,120,5719,015-351-10150
108,Afsana Rahman Badhon,Female,Narsingdi,"House #5, Lane #9, Narsingdi Sadar, Narsingdi",Khaadi,5990,120,6110,018-875-32600
109,Aysha Shiddika,Female,Gazipur,"House #12, Road #2, Gazipur Sadar, Gazipur",Mushq,6890,120,7010,018-165-29600
110,Jannat Tania,Female,Noakhali,"kuripara gate,chowrasta,Begumganj,Noakhali",Ethnic,6500,120,6620,019-454-70403
111,Tanima Rahman Tisha,Female,Chittagong,"chandgao r/a b,block house no-454,road no-7,Chittagong",Baroque,7560,120,7680,018-876-82907
112,Jannatul Haque Sujan,Female,Cox's Bazar,"Apartment #8, Block #M, Chakaria, Coxs Bazar",Celina,5599,120,5719,013-781-81409
113,Israt Jahan Moni,Female,Cox's Bazar,"House #20, Road #5, Ramu, Coxs Bazar",Mushq,6890,120,7010,016-647-20106
114,Mehnaz Yeamin,Female,Barisal,"Plot #14, Dapdapia, Bakerganj, Barisal",Khaadi,5990,120,6110,013-580-10669
115,Ummay Habiba,Female,Mymensingh,"House #10, Lane #6, Mymensingh Sadar, Mymensingh",Ethnic,6500,120,6620,018-515-62260
116,Anisha Islam,Female,Kushtia,"House #14, Road #8, Bheramara, Kushtia",Amir Adnan,9550,120,9670,019-643-68206
117,Mohi Uddin,Male,Chittagong,"kalamia bazar,hatkhula, kaza store,Chittagong",Celina,5599,120,5719,019-757-49110
118,Raihana Taherin Chaity,Female,Sylhet,"Flat #4, Building #11, Lamabazar, Sylhet",Khaadi,5990,120,6110,019-442-31509
119,Tamia Binte Alam,Female,Dhaka,"House #15, Lane #4, Mirpur, Dhaka",Maria B.,7500,70,7570,019-873-99704
120,Rafiza Afroz Purna,Female,Rajshahi,"Terokhadia uttarpara dabtola r mor,Rajshahi",Sana Safinaz,10590,120,10710,016-220-81902
121,Syeda Rakiba,Female,Coxs Bazar,"Plot #14, Ukhia, Coxs Bazar",Ethnic,6500,120,6620,013-587-85508
122,Faria Sultana Mumu,Female,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",Mushq,6890,70,6960,017-799-71570
123,Kashfia Islam Anika,Female,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",Amir Adnan,9550,70,9620,016-267-77070
124,Prottasha Haque,Female,Rangpur,"Apartment #7, Block #G, Pirgacha, Rangpur",Faraz Manan,90000,120,90120,013-857-86021
125,Syeda Nafisa Nowshad,Female,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",Ethnic,6500,70,6570,019-436-78360
126,Sadika Swapna,Female,Kushtia,"Plot #6, Kumarkhali, Kushtia",Amir Adnan,9550,120,9670,016-305-44002
127,Salima Islam,Female,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",Mushq,6890,70,6960,017-187-88200
128,Zarin Tasnim,Female,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",Maria B.,7500,120,7620,016-203-29204
129,Faiza Sobhan,Female,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",Sana Safinaz,10590,120,10710,018-126-42006
130,Farinaj Rahman,Female,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",Ethnic,6500,70,6570,018-736-73706
131,Lamia Rahman,Female,Kushtia,"Plot #6, Kumarkhali, Kushtia",Celina,5599,120,5719,013-703-17809
132,Maria Sobhan,Female,Narsingdi,"House #5, Lane #9, Narsingdi Sadar, Narsingdi",Baroque,7560,120,7680,019-836-81072
133,Sujana Rahman,Female,Rajshahi,"Apartment #3, Block #B, Seroil, Rajshahi",Mushq,6890,120,7010,018-920-75024
134,Rabeya Hossain,Female,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",Khaadi,5990,120,6110,015-947-45040
135,Ayesha Khan,Female,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",Khaadi,5990,70,6060,015-555-84076
136,Maria Sabrin,Female,Narayanganj,"32/34 Esha kha road,Sitolokha Houseing,Razi a Tower,Borofkol,Narayanganj",Khaadi,5990,120,6110,015-708-85600
137,Nazia Ahmed,Female,Mymensingh,"Flat #4, Building #13, Gafargaon, Mymensingh",Faraz Manan,90000,120,90120,016-981-85017
138,Saima Biswas,Female,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",Maria B.,7500,70,7570,019-424-82036
139,Sharmin Karim,Female,Dhaka,"210/A, South Jatrabari Nabi Nogor,( Beside Eidgah),Dhaka-1204",Sana Safinaz,10590,70,10660,019-780-94300
140,Lamisa Rowshan,Female,Chittagong,"House #9, Lane #2, Panchlaish, Chittagong",Sapphire,7180,120,7300,017-111-83092
141,Parthib Sadiq,Male,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",Celina,5599,70,5669,019-415-59404
142,Miniba Jahan,Female,Dhaka,"30/20 Tajmahal road, Mohammadpur, Dhaak",Khaadi,5990,70,6060,013-153-49083
143,Farhana Tabassum,Female,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",Maria B.,7500,70,7570,016-180-24303
144,Fahim Shah,Male,Barisal,"House #10, Lane #3, Natullabad, Barisal",Mushq,6890,120,7010,018-446-45907
145,Tamanna Rahman,Female,Bogura,"House #9, Lane #10, Bogura Sadar, Bogura",Mushq,6890,120,7010,013-302-52014
146,Rabeya Das,Female,Chittagong,"Ctg lalkanbazar,161 baggona,Silicon johora squre, Chittagong",Khaadi,5990,120,6110,018-710-63009
147,Mahbuba Tahsin,Female,Dhaka,503/4 malibagh bagan bari Dhaka,Amir Adnan,9550,70,9620,019-332-62035
148,Ilma Das,Female,Sylhet,"127 Aziz vilaa, komla bagan,Mojumdari, Sylhet",Faraz Manan,90000,120,90120,015-103-39110
149,Raisa Sobhan,Female,Jessore,"House #15, Road #3, Bagherpara, Jessore",Amir Adnan,9550,120,9670,019-342-17601
150,Aminul Chowdhury,Male,Jamalpur,"Plot #8, Islampur, Jamalpur",Baroque,7560,120,7680,013-458-66304
151,Sumaiya Karim,Female,Kushtia,"Apartment #10, Block #P, Mirpur, Kushtia",Khaadi,5990,120,6110,017-306-86508
152,Mahbuba Ahmed,Female,Dhaka,"Avenue-2,Road-13,House-905,Mirpur DOHS,Dhaka",Sapphire,7180,70,7250,017-134-31509
153,Farhan Hossain,Male,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",Amir Adnan,9550,120,9670,013-946-38602
154,Farinaj Ali,Female,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",Faraz Manan,90000,120,90120,015-874-11000
155,Ratul Siddique,Male,Chittagong,"Community bank Bangladesh ltd,Head office, Police Plaza,Concord shopping mall,Chittagong",Baroque,7560,120,7680,018-316-39909
156,Saima Nawar,Female,Tangail,"Flat #3, Building #14, Kalihati, Tangail",Faraz Manan,90000,120,90120,013-704-35027
157,Tahmina Rowshan,Female,Chittagong,"House #9, Lane #2, Panchlaish, Chittagong",Maria B.,7500,120,7620,019-433-25140
158,Shafi Hossain,Male,Chittagong,"House #9, Lane #2, Panchlaish, Chittagong",Mushq,6890,120,7010,013-591-58041
159,Nusrat Karim,Female,Sylhet,"House #2, Lane #8, Amberkhana, Sylhet",Khaadi,5990,120,6110,016-132-30400
160,Farinaj Ali,Female,Dhaka,"mirpur 12,Cantonment osmany hall,MIST female wings",Khaadi,5990,70,6060,019-583-81500
161,Tashpia Fairooz,Female,Dhaka,"376/1, grand dalia apartment, sixth floor,flat B 4, west,monipur, mirpur 2, dhaka 1216,Dhaka",Khaadi,5990,70,6060,015-780-87702
162,Abdullah Ali,Male,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",Khaadi,5990,70,6060,013-172-56100
163,Ilma Karim,Female,Dinajpur,"Flat #3, Building #14, Chirirbandar, Dinajpur",Khaadi,5990,120,6110,017-812-57021
164,Ayesha Tahsin,Female,Faridpur,"Apartment #9, Block #S, Boalmari, Faridpur",Celina,5599,120,5719,016-389-15041
165,Raisa Islam,Female,Kushtia,"House #14, Road #8, Bheramara, Kushtia",Sapphire,7180,120,7300,017-306-33009
166,Nusrat Tabassum,Female,Jessore,"House #4, Lane #12, Jessore Sadar, Jessore",Amir Adnan,9550,120,9670,013-117-49709
167,Sharmin Noor,Female,Barisal,"Apartment #8, Block #A, Kuakata, Barisal",Celina,5599,120,5719,017-222-86608
168,Farhana Sobhan,Female,Dinajpur,"Plot #9, Phulbari, Dinajpur",Amir Adnan,9550,120,9670,013-900-80302
169,Nazia Hossain,Female,Mymensingh,"Flat #4, Building #13, Gafargaon, Mymensingh",Sapphire,7180,120,7300,015-368-32038
170,Tamanna Nawar,Female,Cox's Bazar,"Plot #14, Ukhia, Coxs Bazar",Khaadi,5990,120,6110,013-570-24085
171,Himeka Mahi,Female,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",Khaadi,5990,70,6060,017-866-75094
172,Ayesha Ahmed,Female,Narsingdi,"Flat #8, Building #16, Raipura, Narsingdi",Khaadi,5990,120,6110,015-592-16507
173,Tamanna Das,Female,Jessore,"Flat #1, Building #10, Abhaynagar, Jessore",Khaadi,5990,120,6110,015-770-19803
174,Mostafa Hassan,Male,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",Khaadi,5990,120,6110,016-820-42047
175,Nafisa Mahi,Female,Tangail,"House #16, Road #11, Gopalpur, Tangail",Maria B.,7500,120,7620,017-367-61999
176,Sabina Ahmed,Female,Jessore,"House #4, Lane #12, Jessore Sadar, Jessore",Baroque,7560,120,7680,018-670-61408
177,Raisa Khan,Female,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",Maria B.,7500,70,7570,018-953-78097
178,Wamia Tahsin,Female,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",Khaadi,5990,70,6060,018-300-42105
179,Sharmin Biswas,Female,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",Celina,5599,120,5719,015-418-32201
180,Salman Ibnat,Male,Khulna,"House #1, Lane #5, Sonadanga, Khulna",Mushq,6890,120,7010,019-613-59604
181,Nowshin Mahi,Female,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",Sana Safinaz,10590,70,10660,017-233-87809
182,Miniba Haque,Female,Chittagong,"C/o- Syed Asad Uddin Ahmed,Shams monzil,R/ A jalali -32,eletric supply road,Amborkh",Maria B.,7500,120,7620,018-412-87003
183,Mostafa Islam,Male,Dhaka,"1,biren bose street (China complex),mitf ord road, Dhaka",Baroque,7560,70,7630,016-736-13510
184,Salman Alam,Male,Dhaka,"House #15, Lane #4, Mirpur, Dhaka",Maria B.,7500,70,7570,019-858-63309
185,Saima Tabassum,Female,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",Baroque,7560,120,7680,017-795-74504
186,Nowshin Sabah,Female,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",Ethnic,6500,120,6620,018-268-19730
187,Farhana Biswas,Female,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",Khaadi,5990,70,6060,016-531-59049
188,Irina Nawar,Female,Rajshahi,"BRAC Bank Limited,CDA Avenue,Branch Hosna Kalam,Complex, Plot 64, Rajshahi",Amir Adnan,9550,120,9670,019-850-30656
189,Raisa Noor,Female,Dhaka,"House 02,Road 04 Block B,banasree Rampura,Dhaka",Amir Adnan,9550,70,9620,013-831-50201
190,Nowshin Chowdhury,Female,Cox's Bazar,"Flat #11, Building #15, Teknaf, Coxs Bazar",Faraz Manan,90000,120,90120,015-231-48106
191,Rabeya Ahmed,Female,Jamalpur,"Plot #8, Islampur, Jamalpur",Maria B.,7500,120,7620,015-512-25093
192,Lamisa Tahsin,Female,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",Baroque,7560,120,7680,016-649-99062
193,Farhan Hossain,Male,Dinajpur,"House #16, Road #6, Khansama, Dinajpur",Ethnic,6500,120,6620,019-689-66067
194,Arabi Haque,Female,Chittagong,"Apartment #5B, Block #D, Nasirabad, Chittagong",Maria B.,7500,120,7620,018-635-31008
195,Farhana Islam,Female,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",Maria B.,7500,70,7570,018-644-82806
196,Nusrat Ali,Female,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",Faraz Manan,90000,70,90070,019-782-35306
197,Fahim Khan,Male,Khulna,"House #1, Lane #5, Sonadanga, Khulna",Celina,5599,120,5719,018-633-61017
198,Fabliha Sabrin,Female,Dhaka,"House #15, Lane #4, Mirpur, Dhaka",Amir Adnan,9550,70,9620,015-691-63404
199,Faiza Tabassum,Female,Kushtia,"House #7, Lane #11, Kushtia Sadar, Kushtia",Ethnic,6500,120,6620,015-981-99955
200,Rabeya Khan,Female,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",Sapphire,7180,70,7250,018-259-51108
